word,imgability
mold,5.5
mole,6.0
moll,2.1
monk,5.9
month,4.4
mooch,3.0
mood,3.2
moon,6.8
moor,3.0
moose,6.7
moot,1.4
mop,6.4
mope,3.3
morgue,6.0
morn,3.7
mosque,3.2
moss,6.4
most,2.3
moth,6.0
mound,5.4
mount,4.8
mousse,4.3
move,3.2
mow,4.6
much,2.2
muck,2.9
mud,6.5
muff,3.6
mug,6.2
mulch,5.6
mule,6.3
mull,1.7
mum,3.8
mumps,4.6
munch,4.0
murk,2.5
muse,2.8
mush,4.0
musk,3.7
muss,1.9
must,1.9
mute,3.0
mutt,5.3
my,1.7
myth,3.5
nab,2.1
nag,3.1
nail,6.6
name,4.2
nap,4.7
nape,2.9
naught,1.7
nay,2.3
near,3.3
neat,3.5
neck,6.5
need,2.4
neigh,2.9
nerve,4.4
nest,6.2
net,5.9
new,3.0
newt,3.3
next,2.2
nice,3.0
niche,2.9
nick,4.2
niece,5.4
nigh,1.8
night,5.8
nil,1.9
nine,6.1
ninth,4.9
nip,3.5
nix,1.7
no,2.1
nod,4.1
node,2.4
noise,3.9
none,2.6
nook,3.6
noon,4.0
noose,5.9
nor,1.5
norm,2.5
north,4.5
nose,6.4
not,2.0
notch,4.1
note,5.5
noun,2.7
now,1.9
nub,2.7
nude,5.8
nudge,4.1
,2.3
numb,2.8
nun,5.9
nurse,6.4
nut,6.2
nymph,4.0
oaf,2.5
oak,6.0
oar,5.9
oat,5.6
oath,3.0
odd,2.7
ode,2.2
of,1.5
off,2.6
oft,1.5
oil,6.4
old,4.3
on,1.9
once,2.0
one,4.9
ooze,4.6
opt,1.4
or,1.4
orb,2.8
ore,4.0
ouch,3.2
ought,1.5
ounce,4.0
our,1.8
oust,1.7
out,2.2
owe,2.1
owl,6.5
own,2.2
ox,6.3
pa,4.2
pace,3.3
pack,4.6
pact,2.4
pad,4.7
page,5.9
pail,5.3
pain,4.3
paint,6.3
pair,4.3
pal,4.6
pale,4.2
pall,1.9
palm,6.7
pan,6.3
pane,4.2
pang,2.5
pant,4.3
pants,6.8
pap,2.8
par,2.3
pare,2.1
park,6.5
part,3.3
pass,4.1
past,2.7
paste,5.4
pat,4.4
patch,5.4
path,5.5
paunch,1.7
pause,2.7
pave,4.5
paw,6.4
pawn,5.0
pay,4.3
pea,6.8
peace,3.6
peach,6.9
peak,4.8
peal,4.7
pear,6.0
pearl,6.4
peat,2.2
peck,4.2
peek,4.0
peel,5.4
peep,4.2
peer,3.9
peeve,2.0
peg,5.1
pelt,3.5
pen,6.6
pence,1.8
pent,2.5
pep,3.2
per,1.7
perch,4.7
perk,2.8
pert,2.0
pest,5.0
pet,6.4
pew,4.2
phase,3.1
phone,6.6
phrase,3.0
pick,3.8
pie,6.7
piece,3.8
pier,6.2
pierce,5.0
pig,6.8
pike,4.2
pile,4.8
pill,6.8
pimp,5.6
pin,6.0
pinch,4.7
pine,6.4
ping,3.1
pink,5.4
pint,5.2
pip,1.7
pipe,6.3
pit,5.2
pitch,4.9
pith,1.9
place,3.7
plague,4.4
plaid,5.7
plain,3.5
plan,2.8
plane,6.8
plank,4.9
plant,6.3
plaque,5.1
plate,6.4
play,4.5
plea,2.9
plead,3.7
please,2.4
pleat,2.9
pled,2.8
pledge,3.7
plight,2.0
plod,1.8
plop,3.0
plot,3.2
plow,5.6
ploy,2.1
pluck,4.1
plug,4.9
plum,6.4
plumb,3.7
plume,3.4
plump,4.3
plunge,3.7
plunk,2.2
plus,3.0
plush,3.2
ply,2.0
poach,3.9
pod,4.0
point,5.2
poise,3.2
poke,4.5
pole,5.8
poll,3.7
pomp,1.7
pond,6.5
pooch,5.1
poof,3.3
pool,6.7
poop,6.3
poor,4.0
pop,6.1
pope,6.4
porch,6.8
pork,6.4
port,4.3
pose,3.6
posh,1.8
post,5.4
pot,6.2
pouch,5.7
pounce,4.4
pound,4.1
pour,4.9
pout,4.4
pox,2.7
praise,4.1
prance,3.7
prank,3.9
pray,5.0
prayer,5.2
preach,4.6
press,4.8
prey,4.3
price,3.6
prick,3.9
pride,2.8
priest,6.3
prim,2.1
prime,3.1
primp,3.8
prince,6.4
print,5.3
prize,5.5
pro,3.1
probe,4.0
prod,3.3
prom,5.8
prompt,2.5
prone,2.2
prong,4.4
proof,3.1
prop,4.2
prose,2.1
proud,2.9
prove,2.4
prow,2.6
prowl,4.5
prude,2.7
prune,5.7
pry,3.5
psalm,4.3
pub,5.6
puck,4.8
puff,4.3
pug,4.1
puke,5.7
pull,4.1
pulp,4.6
pulse,4.7
pump,4.8
pun,2.6
punch,5.0
punk,4.3
punt,3.9
pup,6.0
pure,3.7
purge,3.6
purr,4.6
purse,6.5
pus,3.8
push,4.1
put,2.2
putt,4.0
pyre,2.4
quack,4.3
quad,3.2
quail,5.7
quaint,2.4
quake,4.9
qualm,1.8
quart,5.0
quartz,5.0
quay,1.9
queen,6.6
queer,4.0
quell,2.0
quench,3.3
quest,4.0
queue,1.5
quick,2.9
quill,4.9
quilt,6.7
quip,1.8
quirk,2.6
quit,2.9
quite,2.5
quiz,4.8
quote,3.9
race,5.1
rack,5.3
raft,6.0
rag,6.3
rage,3.6
raid,3.4
rail,5.6
rain,6.3
raise,4.0
rake,6.2
ram,5.3
ramp,5.5
ran,4.3
ranch,5.8
rang,3.4
range,3.5
rank,3.4
rant,2.6
rap,4.3
rape,4.8
rapt,2.4
rare,2.5
rash,5.5
rasp,2.8
rat,6.8
rate,2.6
rave,3.9
raw,4.3
ray,4.3
rays,4.2
reach,4.3
realm,2.7
ream,2.2
reap,3.0
rear,4.5
red,6.0
reed,3.9
reef,4.3
reek,3.0
reel,5.0
reign,2.8
rein,3.7
rend,1.6
rent,4.0
rest,3.8
retch,2.8
rev,1.9
rhyme,3.7
rib,6.5
rice,6.8
rich,4.3
rid,2.2
ride,4.6
ridge,4.9
rift,3.3
rig,4.0
right,3.6
rile,1.7
rim,4.7
rind,3.4
ring,6.2
rink,4.2
rinse,4.0
rip,4.7
ripe,4.7
rise,3.3
risk,2.4
rite,2.1
roach,6.6
road,6.6
roam,3.9
roar,4.1
roast,5.7
rob,4.2
robe,5.9
rock,6.4
rod,5.9
rode,3.7
roe,2.0
rogue,4.0
role,3.4
roll,4.5
romp,3.3
roof,6.4
rook,4.0
room,5.6
roost,4.4
root,6.0
rope,6.6
rose,6.7
rot,3.6
rouge,3.9
rough,3.2
round,5.4
rout,2.2
route,4.7
rove,2.5
rub,4.4
rude,3.0
rue,2.1
rug,6.5
rule,3.5
rum,5.4
rump,4.7
run,4.6
rung,3.9
runt,3.8
rush,3.9
rust,5.3
rut,4.1
rye,3.9
sack,5.5
sad,3.9
safe,4.1
sag,3.6
sage,4.7
said,2.1
sail,6.0
saint,5.5
sake,2.3
sale,3.8
salt,6.2
salve,2.6
same,2.4
sand,6.7
sane,2.5
sang,3.2
sank,3.9
sap,4.0
sash,4.1
sat,3.7
sauce,5.7
save,2.9
saw,3.9
say,2.8
scab,5.7
scald,3.4
scale,4.8
scalp,5.9
scamp,2.6
scan,3.7
scant,2.0
scar,6.2
scarce,3.0
scare,3.8
scarf,6.5
scene,3.8
scent,3.8
scheme,2.7
school,6.5
scoff,2.6
scold,3.9
scoop,4.7
scope,4.8
scorch,3.9
score,3.4
scorn,2.3
scotch,5.2
scour,2.2
scourge,1.6
scout,5.3
scowl,3.7
scrap,4.2
scrape,4.1
scratch,4.7
scrawl,2.5
scream,4.5
screech,3.5
screen,6.2
screw,6.0
scribe,3.5
script,5.1
scroll,4.6
scrub,4.9
scruff,3.3
scum,3.8
sea,6.4
seal,5.5
seam,3.7
sear,2.7
search,3.3
seat,6.2
sect,2.6
see,3.0
seed,6.4
seek,2.9
seem,1.7
seep,2.9
seize,3.7
self,4.3
sell,3.0
send,3.4
sense,2.8
sent,3.2
serf,3.2
serve,3.0
set,3.7
sew,5.2
sex,5.8
shack,5.5
shade,4.3
shaft,4.4
shag,4.1
shake,4.4
shale,3.1
shall,2.0
sham,3.0
shame,2.7
shank,2.9
shape,4.2
share,3.2
shark,6.8
sharp,4.6
shave,5.6
shawl,5.3
she,3.8
shear,3.7
sheath,4.0
sheathe,3.2
sheave,2.2
shed,6.1
sheen,2.0
sheep,6.8
sheer,3.5
sheet,6.4
sheik,2.6
shelf,6.5
shell,6.0
shelve,6.0
shield,5.8
shift,3.6
shill,2.0
shin,5.2
shine,4.7
ship,6.8
shirk,2.0
shirt,6.5
shoal,2.3
shock,3.6
shoe,6.5
shone,2.5
shook,3.8
shoot,4.5
shop,5.5
shore,5.8
short,4.5
shot,4.9
should,1.9
shout,3.8
shove,4.3
show,4.0
shrank,3.7
shred,4.9
shrew,3.5
shrewd,2.7
shriek,3.2
shrill,2.5
shrimp,6.8
shrine,5.1
shrink,4.0
shroud,3.0
shrub,6.3
shrug,4.2
shrunk,3.9
shuck,3.6
shun,3.0
shunt,2.2
shush,2.5
shut,3.9
shy,2.9
sick,4.1
side,3.8
siege,3.0
sieve,1.9
sift,4.0
sigh,3.6
sight,3.2
sign,6.2
silk,5.9
sill,2.9
silt,4.0
sin,3.0
since,1.8
sing,4.9
singe,3.5
sink,5.4
sip,4.4
sir,3.8
sire,3.1
sit,4.7
site,3.3
six,5.5
size,3.8
skate,5.9
sketch,5.4
skew,2.5
ski,6.0
skid,4.3
skill,2.8
skim,4.0
skimp,3.0
skin,6.3
skip,4.2
skirt,6.7
skit,3.9
skulk,2.2
skull,6.5
skunk,6.5
sky,6.5
slab,4.2
slack,3.1
slag,2.2
slain,4.0
slam,3.8
slang,3.1
slant,4.0
slap,5.0
slash,4.4
slat,3.0
slate,4.4
slave,5.7
slaw,4.3
slay,3.8
sled,6.6
sledge,3.3
sleek,3.5
sleep,5.5
sleet,4.3
sleeve,6.5
sleigh,6.0
sleight,2.3
slept,4.5
sleuth,3.7
slew,2.5
slice,5.3
slick,4.0
slid,4.1
slide,5.2
slight,2.3
slim,4.9
slime,5.8
sling,5.0
slip,4.5
slit,4.3
slop,3.9
slope,4.8
slot,5.2
sloth,4.1
slouch,4.3
slow,3.4
slug,5.7
slum,4.2
slump,3.9
slung,3.5
slur,3.0
slush,4.6
slut,5.2
sly,2.7
smack,4.6
small,4.2
smart,3.1
smash,4.8
smear,3.5
smell,3.4
smelt,3.2
smile,6.5
smirk,4.5
smite,2.1
smock,4.5
smog,6.0
smoke,6.4
smooth,4.0
smudge,4.8
smug,3.4
smut,2.8
snack,5.6
snag,4.5
snail,6.5
snake,6.5
snap,4.1
snare,4.4
snarl,4.2
snatch,3.6
sneak,3.5
sneer,3.1
sneeze,5.6
snide,2.3
sniff,4.3
snip,3.8
snipe,3.3
snitch,3.4
snob,4.5
snoop,3.7
snooze,4.8
snore,5.0
snort,4.5
snout,5.0
snub,2.4
snuff,4.3
snug,3.9
so,1.7
soak,4.0
soap,6.5
soar,4.3
sob,4.6
sock,6.7
sod,4.2
soft,4.1
soil,5.9
sold,3.3
sole,3.8
solve,2.7
some,2.0
son,5.6
song,4.3
soon,2.2
soot,4.6
soothe,3.7
sop,2.2
sore,4.1
sort,3.0
sough,1.6
sought,2.0
soul,3.1
sound,3.5
soup,6.5
sour,3.6
source,2.6
south,4.6
sow,4.6
soy,3.9
spa,6.0
space,4.5
spade,5.2
span,2.9
spank,5.0
spar,2.7
spare,4.2
spark,5.4
sparse,2.7
spat,3.7
spawn,3.5
speak,3.8
spear,5.9
speck,3.9
sped,3.7
speech,4.1
speed,3.3
spell,2.9
spend,3.0
spent,3.3
sperm,6.0
spew,3.8
sphere,5.8
sphinx,5.4
spice,5.4
spike,5.9
spill,4.2
spin,4.5
spine,6.0
spire,2.7
spit,5.2
spite,3.2
splash,5.1
splay,2.0
spleen,5.5
splice,3.5
splint,4.7
split,4.3
splotch,2.9
splurge,3.2
spoil,3.6
spoke,4.1
sponge,5.9
spoof,2.2
spook,3.6
spool,5.5
spoon,6.3
spore,3.8
sport,5.0
spot,5.2
spout,5.0
sprain,4.5
sprang,3.1
sprawl,3.6
spray,5.0
spread,4.0
spree,3.4
sprig,2.9
spring,5.9
sprint,4.7
sprite,5.5
sprout,4.7
spruce,4.8
sprung,3.4
spry,2.0
spud,5.0
spun,3.4
spunk,2.8
spur,5.3
spurn,2.0
spurt,3.3
spy,4.3
squad,4.4
squall,4.0
square,6.4
squash,5.3
squat,4.5
squaw,3.9
squawk,3.6
squeak,4.3
squeal,3.1
squeeze,4.3
squelch,2.3
squid,6.4
squint,5.1
squire,3.9
squirm,4.7
squirt,4.8
stab,5.2
stack,4.2
staff,4.6
stag,5.0
stage,6.1
stain,5.5
stair,6.1
stake,5.4
stale,3.3
stalk,4.5
stall,4.8
stamp,6.1
stance,3.4
stanch,1.9
stand,5.0
stank,2.8
star,6.8
starch,4.1
stare,4.5
stark,2.8
start,2.9
starve,3.8
state,4.9
staunch,1.7
stay,2.6
stead,3.0
steak,6.5
steal,3.8
stealth,2.8
steam,5.6
steed,4.2
steel,5.8
steep,4.2
steer,5.0
stein,2.1
stem,6.2
stench,3.3
step,5.7
steppe,2.4
stern,3.6
stew,5.7
stick,5.9
stiff,3.7
stile,2.0
still,2.8
stilt,4.3
sting,5.0
stink,3.9
stint,2.4
stir,4.5
stitch,5.3
stock,3.8
stoke,2.8
stole,3.6
stone,6.6
stood,4.3
stooge,4.1
stool,6.1
stoop,3.9
stop,4.5
store,5.8
stork,5.7
storm,6.2
stout,3.6
stove,6.9
stow,2.3
straight,4.1
strain,3.7
strand,4.7
strange,2.7
strap,5.5
straw,6.5
stray,4.0
streak,4.2
stream,6.4
street,6.3
strength,3.4
stress,3.4
stretch,4.5
strict,2.7
stride,4.2
strife,2.7
strike,4.6
string,6.2
strip,4.8
stripe,6.0
strive,3.1
strode,2.8
stroke,4.5
stroll,4.5
strong,4.0
strove,2.6
struck,3.8
strum,3.5
strung,2.8
strut,4.0
stub,4.5
stuck,3.2
stud,4.9
stuff,3.6
stump,5.8
stun,3.1
stung,4.4
stunt,3.7
sty,2.5
style,3.3
suave,2.9
such,1.7
suck,4.4
suds,5.8
sue,3.6
suede,5.2
suit,5.5
suite,5.2
sulk,3.1
sum,3.4
sun,6.9
sung,3.3
sunk,3.5
sup,1.7
sure,2.2
surf,6.1
surge,3.3
swab,5.2
swag,3.0
swam,4.4
swamp,6.0
swan,6.3
swank,2.4
swap,2.9
swarm,4.8
swash,2.3
swat,4.5
swath,2.0
swathe,1.8
sway,3.8
swear,3.0
sweat,5.8
sweep,5.0
sweet,4.0
swell,3.9
swept,4.4
swerve,5.0
swift,3.3
swig,3.9
swim,5.6
swine,5.0
swing,5.8
swipe,3.6
swirl,4.3
swish,3.1
switch,4.3
swoon,3.2
swoop,3.5
sword,6.8
swore,3.0
sworn,2.9
swum,2.6
swung,4.2
sync,2.2
tab,3.9
tack,5.3
tact,2.4
tag,4.5
tail,6.5
taint,3.1
take,2.8
talc,3.1
tale,3.6
talk,4.7
tall,5.1
tame,3.1
tan,5.2
tank,5.9
tap,4.2
tape,6.1
taps,3.9
tar,5.5
tart,4.1
task,3.2
taste,4.0
taught,3.4
taunt,2.9
taut,2.3
tax,4.2
tea,6.4
teach,3.7
teal,5.1
team,5.0
tear,5.7
tease,3.8
tee,4.2
teem,1.7
teen,5.6
teeth,6.7
tell,2.5
tempt,2.8
ten,6.3
tend,2.1
tense,2.6
tent,6.6
tenth,4.3
term,3.3
test,5.3
text,5.1
than,1.6
thank,2.7
that,2.0
thaw,3.3
the,1.3
theft,3.4
their,1.9
them,2.5
theme,3.1
then,1.5
thence,1.7
these,1.6
they,2.3
thick,3.7
thief,5.3
thieve,4.7
thigh,6.2
thin,4.9
thing,2.6
think,2.6
third,4.3
thirst,3.0
this,1.8
thong,6.2
thorn,6.4
those,1.7
though,2.0
thought,3.1
thrash,3.1
thread,6.0
threat,3.2
three,5.3
thresh,2.2
threw,4.0
thrice,2.7
thrift,3.0
thrill,3.3
thrive,2.9
throat,6.4
throb,3.9
throne,6.1
throng,2.4
through,1.9
throw,4.3
thrown,3.6
thrush,3.1
thrust,4.0
thud,3.3
thug,4.9
thumb,6.7
thump,3.7
thus,1.6
thwart,1.8
thyme,2.1
tic,3.8
tick,5.8
tide,5.3
tie,6.4
tier,3.1
tight,4.3
tights,6.1
tile,5.3
till,2.9
tilt,4.1
time,4.2
tin,5.9
tinge,2.0
tint,4.6
tip,4.2
tire,6.2
tit,5.0
to,1.4
toad,6.8
toast,6.5
toe,6.7
toil,2.9
told,2.4
toll,3.9
tomb,6.4
ton,3.6
tone,3.0
tong,4.5
tongue,6.5
too,1.3
took,2.4
tool,6.0
toot,3.3
tooth,6.8
top,4.8
torch,6.2
torn,4.8
tort,1.7
toss,4.4
tot,3.2
tote,4.2
touch,4.2
tough,3.8
tour,3.9
tow,4.3
town,5.9
toy,6.8
trace,3.6
track,5.1
tract,2.7
trade,3.0
trail,5.6
train,6.3
trait,2.9
tram,2.9
tramp,4.9
trance,4.0
trap,4.4
trash,6.2
tray,5.8
tread,3.4
treat,4.6
tree,6.8
trek,2.9
trench,4.9
trend,3.1
tribe,5.6
trick,3.9
trill,2.0
trim,4.0
trip,4.3
tripe,1.7
trite,2.1
trod,2.9
troll,5.5
troop,5.6
trot,3.8
trough,4.2
trounce,2.2
troupe,2.8
trout,6.3
truce,2.3
truck,6.9
trudge,2.3
true ,2.5
trump,2.9
trunk,6.0
trust,2.9
try,2.0
tub,6.3
tube,5.7
tuck,4.1
tug,4.3
tune,3.5
turf,4.9
turn,3.9
tusk,5.4
twang,2.6
tweed,3.6
tweet,3.0
twelfth,4.7
twelve,6.0
twerp,3.3
twice,2.9
twig,6.3
twin,5.2
twine,4.8
twinge,2.8
twirl,4.7
twist,4.7
twit,3.0
twitch,4.3
two,4.8
tyke,2.7
type,4.8
up,3.8
urge,2.5
urn,4.7
us,2.0
vague,2.8
vain,3.4
vale,3.7
valve,5.0
vamp,3.1
van,6.3
vane,3.7
vase,6.2
vast,3.0
vault,5.6
veal,4.6
veer,2.6
veil,5.3
vein,5.8
vend,3.2
vent,5.4
verb,3.0
verge,2.6
verse,3.8
versed,2.2
vest,6.2
vet,6.0
vex,1.7
vice,2.9
vie,1.5
view,3.2
vile,3.3
vine,6.7
vise,2.5
vogue,2.3
voice,3.7
void,3.0
volt,3.8
vote,4.3
vouch,2.3
vow,3.3
wad,4.0
wade,4.5
wag,5.0
wage,3.6
waif,2.6
wail,2.7
waist,6.0
wait,2.6
waive,2.8
wake,3.4
wale,2.8
walk,5.2
wall,6.2
waltz,5.1
wand,5.6
wane,2.2
want,2.4
war,5.4
ward,3.0
ware,2.3
warm,3.5
warn,3.0
warp,3.4
wart,5.4
was,1.4
wash,5.1
wasp,6.5
waste,3.8
watch,5.9
watt,3.3
wave,5.5
wax,5.6
way,2.3
we,2.3
weak,3.3
wealth,4.3
wean,2.8
wear,3.3
weave,5.1
web,6.0
wed,4.5
wedge,5.1
wee,2.0
weed,6.5
week,3.8
weep,5.0
weigh,3.5
weird,3.5
welch,2.2
weld,4.2
well,3.3
welsh,2.6
welt,3.1
wench,3.8
went,1.6
wept,4.6
were,1.5
west,4.5
wet,5.3
whack,3.9
whale,6.6
wham,3.1
wharf,2.6
what,1.4
wheat,6.5
wheel,6.5
wheeze,3.8
whelp,2.9
when,1.7
whence,2.1
where,1.9
whet,1.9
whey,2.7
which,1.6
whiff,3.0
while,2.0
whim,1.8
whine,3.7
whip,5.0
whirl,4.4
whisk,3.9
whit,2.7
white,6.5
whiz,3.0
who,1.5
whole,2.9
whom,2.1
whoop,3.1
whore,5.3
why,1.7
wick,5.4
wide,4.1
width,3.4
wield,2.7
wife,5.7
wig,6.5
wild,4.1
will,2.6
wilt,4.1
win,4.0
wince,3.4
winch,3.6
wind,4.7
wine,6.2
wing,6.1
wink,5.4
wipe,5.0
wire,6.0
wise,2.9
wish,3.0
wisp,3.0
wit,2.6
witch,6.6
with,1.6
wives,6.1
woe,2.5
woke,3.4
wolf,6.7
wolves,6.5
womb,5.7
won,3.2
woo,2.1
wood,6.5
wool,5.8
word,3.7
work,3.9
world,6.5
worm,6.6
worse,2.4
worst,2.2
worth,2.3
would,1.6
wound,5.4
wove,3.4
wrack,2.4
wrap,4.6
wrath,3.1
wreak,3.7
wreath,5.4
wreathe,4.3
wreck,5.1
wren,3.1
wrench,5.2
wretch,2.6
wring,3.1
wrist,6.4
writ,2.1
write,4.8
writhe,2.5
wrong,2.4
wrote,3.6
wroth,2.1
wrought,2.0
wrung,3.2
wry,1.6
yacht,6.2
yak,3.8
yam,4.8
yank,4.0
yap,3.0
yard,6.2
yarn,6.2
yawn,5.2
yea,2.2
year,3.9
yearn,2.9
yeast,5.3
yell,4.2
yelp,3.4
yen,2.6
yes,2.3
yet,1.8
yew,2.1
yield,4.1
yoke,5.3
yolk,5.2
yore,1.5
you,3.1
young,4.3
youth,4.9
yule,2.5
zeal,2.1
zest,3.2
zinc,4.7
zing,2.3
zip,5.1
zone,4.1
zoo,6.8
zoom,3.5
